Proximity	Which pubs in Liverpool are at most 2km from Anfield stadium?
Proximity	Which pubs in Liverpool are near Anfield stadium?
Proximity	Which theaters are near Trafalgar Square?
Proximity	Where is a car park near Big Ben?
Proximity	Is there a car park at most 1km from Waterloo Bridge?
Proximity	Is the Castle of Edinburgh less than 2km away from Calton Hill?
Proximity	How many pharmacies are in 200 meter radius of High Street in Oxford?
Proximity	Which restaurants are near Edinburgh Castle?
Proximity	Which hotels are near Big Ben?
Proximity	Which hospitals are close to Stirling Castle?
Proximity	Which pubs in Manchester are near the Old Trafford stadium?
Proximity	Is there a national park near York?
Proximity	Which cafes in Manchester are near Piccadilly Gardens?
Proximity	Which hotels in Manchester are near Wharfside Way?
Proximity	Is there a park in Dublin near Grafton Street?
Proximity	Which Greek restaurants in London are near Wembley stadium?
Proximity	Which restaurants are near Baker Street in London?
Proximity	Which restaurants are near Stonehenge?
Proximity	Is there a forest near Manchester?
Proximity	Is the Tower of London near river Thames?
Proximity	Which art museums are at most 1km from Charlotte Square in Edinburgh?
Proximity	Where is the closest market to Elephant and Castle underground station?
Proximity	Where is the nearest gas station to St. Peter's Square in Manchester?
Proximity	Which city of England is nearest to London?
Proximity	Which car park is closest to a bridge on river Exe?
Proximity	Which hospital is nearest to Calton Hill in Edinburgh?
Proximity	Which is the closest airport to London?
Proximity	Which hotel is the nearest to Old Trafford Stadium in Manchester?
Proximity	What London underground stations are closest to the British Museum?
